region,2015,2016,2017,2018
California,23498.75,23639.77,23743.83,23917.16
LosAngeles,13283.82,13328.26,13353.91,13451.39
Sacramento,2266.89,2295.23,2324.88,2341.86
SanDiego,3290.04,3317.2,3337.69,3362.05
SanFrancisco,4657.99,4699.08,4727.36,4761.87
West,15692.65,15967.18,16209.21,16327.54
Denver,2807.21,2851.85,2888.23,2909.31
PhoenixTucson,4558.15,4648.5,4737.27,4771.85
Portland,2382.18,2423.1,2453.17,2471.08
SaltLakeCity,1167.01,1185.98,1203.11,1211.89
Seattle,3728.61,3802.66,3867.05,3895.28
WestTexNewMexico,1049.49,1055.09,1060.4,1068.14
LasVegas,2110.3,2156.72,2204.08,2220.17
Plains,2807.32,2806.78,2807.34,2827.83
StLouis,2807.32,2806.78,2807.34,2827.83
SouthCentral,15028.74,15322.63,15567.85,15681.5
DallasFtWorth,7101.03,7253.42,7399.66,7453.68
Houston,6664.19,6798.01,6892.43,6942.74
NewOrleansMobile,1263.53,1271.2,1275.76,1285.08
GreatLakes,21064.59,21119.64,21191.58,21346.27
Chicago,9557.5,9546.33,9533.04,9602.63
CincinnatiDayton,2155.67,2166.03,2179.08,2194.99
Columbus,2023.2,2046.98,2078.73,2093.9
Detroit,4302.28,4305.87,4313,4344.49
GrandRapids,1039.06,1048.83,1059.11,1066.84
Indianapolis,1986.87,2005.61,2028.61,2043.42
Boise,674.31,690.81,709.85,715.03
Midsouth,11182.84,11330.45,11473.89,11557.65
BaltimoreWashington,2795.04,2801.03,2808.18,2828.67
Charlotte,2424.12,2475.52,2525.31,2543.74
Louisville,1277.99,1284.85,1293.95,1303.4
Nashville,1829.51,1868.86,1903.05,1916.94
RaleighGreensboro,1272.88,1304.9,1335.08,1344.83
RichmondNorfolk,1270.03,1282.21,1294.2,1303.65
Roanoke,313.28,313.1,314.13,316.42
Southeast,23431.57,23829.34,24174.14,24350.61
Atlanta,5702.33,5795.72,5884.74,5927.69
Jacksonville,1445.99,1476.5,1504.98,1515.97
MiamiFtLauderdale,6026.04,6107.43,6158.82,6203.78
Orlando,2391.03,2453.33,2509.83,2528.15
SouthCarolina,4892.42,4959.82,5024.37,5061.05
Tampa,2973.76,3036.53,3091.4,3113.97
Northeast,51861.87,51979.75,52122.19,52502.68
Albany,153.69,152.44,151.43,152.54
Boston,4775.76,4805.94,4836.53,4871.84
BuffaloRochester,1136.66,1134.91,1136.86,1145.16
HarrisburgScranton,565.3,568.01,571.9,576.08
HartfordSpringfield,1213.04,1210.08,1210.26,1219.09
NorthernNewEngland,14726.16,14757.57,14810,14918.11
New York,20215.69,20275.18,20320.88,20469.22
Philadelphia,6066.59,6077.15,6096.12,6140.62
Pittsburgh,2349.14,2341.54,2333.37,2350.4
Syracuse,659.85,656.93,654.84,659.62
